# 카테고리별 첫 번째 도서 목록 (총 50개)

#    | 카테고리                   | 가격(£)      | 별점     | 제목
--------------------------------------------------------------------------------------------------------------
1    | Travel                 | 45.17      | 2/5    | It's Only the Himalayas
2    | Mystery                | 47.82      | 4/5    | Sharp Objects
3    | Historical Fiction     | 53.74      | 1/5    | Tipping the Velvet
4    | Sequential Art         | 52.29      | 5/5    | Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
5    | Classics               | 15.08      | 4/5    | The Secret Garden
6    | Philosophy             | 15.94      | 5/5    | Sophie's World
7    | Romance                | 25.27      | 5/5    | Chase Me (Paris Nights #2)
8    | Womens Fiction         | 57.36      | 4/5    | I Had a Nice Time And Other Lies...: How to find love & sh*t like that
9    | Fiction                | 50.10      | 1/5    | Soumission
10   | Childrens              | 54.64      | 3/5    | Birdsong: A Story in Pictures
11   | Religion               | 37.97      | 2/5    | Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master
12   | Nonfiction             | 40.30      | 5/5    | Worlds Elsewhere: Journeys Around Shakespeare’s Globe
13   | Music                  | 35.02      | 5/5    | Rip it Up and Start Again
14   | Default                | 17.93      | 3/5    | The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull
15   | Science Fiction        | 37.59      | 1/5    | Mesaerion: The Best Science Fiction Stories 1800-1849
16   | Sports and Games       | 44.84      | 5/5    | The Book of Basketball: The NBA According to The Sports Guy
17   | Add a comment          | 19.09      | 1/5    | The Torch Is Passed: A Harding Family Story
18   | Fantasy                | 18.78      | 3/5    | Unicorn Tracks
19   | New Adult              | 45.07      | 2/5    | Without Borders (Wanderlove #1)
20   | Young Adult            | 22.65      | 1/5    | The Requiem Red
21   | Science                | 42.96      | 4/5    | The Most Perfect Thing: Inside (and Outside) a Bird's Egg
22   | Poetry                 | 51.77      | 3/5    | A Light in the Attic
23   | Paranormal             | 15.40      | 1/5    | Vampire Knight, Vol. 1 (Vampire Knight #1)
24   | Art                    | 44.18      | 4/5    | Wall and Piece
25   | Psychology             | 10.40      | 1/5    | The Lucifer Effect: Understanding How Good People Turn Evil
26   | Autobiography          | 10.93      | 2/5    | The Argonauts
27   | Parenting              | 37.35      | 2/5    | Catastrophic Happiness: Finding Joy in Childhood's Messy Years
28   | Adult Fiction          | 15.36      | 5/5    | Fifty Shades Freed (Fifty Shades #3)
29   | Humor                  | 44.07      | 1/5    | The Long Haul (Diary of a Wimpy Kid #9)
30   | Horror                 | 39.25      | 2/5    | Security
31   | History                | 54.23      | 5/5    | Sapiens: A Brief History of Humankind
32   | Food and Drink         | 30.52      | 3/5    | Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More
33   | Christian Fiction      | 20.47      | 5/5    | Redeeming Love
34   | Business               | 33.34      | 4/5    | The Dirty Little Secrets of Getting Your Dream Job
35   | Biography              | 16.85      | 2/5    | Louisa: The Extraordinary Life of Mrs. Adams
36   | Thriller               | 12.84      | 1/5    | In Her Wake
37   | Contemporary           | 31.77      | 1/5    | When We Collided
38   | Spirituality           | 17.66      | 5/5    | The Four Agreements: A Practical Guide to Personal Freedom
39   | Academic               | 13.12      | 2/5    | Logan Kade (Fallen Crest High #5.5)
40   | Self Help              | 46.35      | 1/5    | Online Marketing for Busy Authors: A Step-By-Step Guide
41   | Historical             | 29.87      | 5/5    | All the Light We Cannot See
42   | Christian              | 54.00      | 5/5    | (Un)Qualified: How God Uses Broken People to Do Big Things
43   | Suspense               | 58.33      | 3/5    | Silence in the Dark (Logan Point #4)
44   | Short Stories          | 35.88      | 1/5    | The Grownup
45   | Novels                 | 54.81      | 5/5    | Suzie Snowflake: One beautiful flake (a self-esteem story)
46   | Health                 | 49.05      | 3/5    | The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life
47   | Politics               | 51.33      | 2/5    | Libertarianism for Beginners
48   | Cultural               | 36.58      | 1/5    | Amid the Chaos
49   | Erotica                | 19.19      | 5/5    | Dark Notes
50   | Crime                  | 10.97      | 1/5    | The Long Shadow of Small Ghosts: Murder and Memory in an American City
